pickup_hour,day_of_week,total_trips,avg_duration_minutes,avg_fare,avg_tip_pct
22,Wednesday,64742,13.528713972382688,27.806050940656853,0.22661394458001982
22,Sunday,34194,15.070333976721063,34.59534099549639,0.21170117564484928
22,Thursday,77757,13.959772110549533,27.536559538048095,0.22632676157773093
23,Thursday,54063,14.229657991602389,29.206780052901326,0.22094445369290983
23,Tuesday,31967,14.268464353864923,31.804393906215846,0.21650702286733112
23,Saturday,72499,14.405578007972524,26.690863046386916,0.21741734368749374
23,Friday,68441,14.43700413494835,27.087369120848695,0.21866921874314532
23,Sunday,26713,15.249241942125558,36.663198068356316,0.2032920300977048
23,Monday,25844,16.064231543104782,37.195123819842195,0.20426017644327474
23,Wednesday,39685,14.211011717273529,30.47206299609429,0.21696308428877278
